source_id,target_id,freq,avg_conf,npmi,lr_log,slope_log1p,weight_final,final_score,status,first_year,last_year,is_emerging,action_match,type
2068,562,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2023,2023,False,1,TECH_FUNC
2942,12783,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2025,2025,False,1,TECH_FUNC
2945,12908,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2025,2025,False,1,TECH_FUNC
2983,12452,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2022,2022,False,1,TECH_FUNC
2971,12487,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2017,2017,False,1,TECH_FUNC
3100,13864,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2011,2011,False,1,TECH_FUNC
3140,13761,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2025,2025,False,1,TECH_FUNC
2687,11329,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2016,2016,False,1,TECH_FUNC
2743,12291,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2020,2020,False,1,TECH_FUNC
665,11880,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2016,2016,False,1,TECH_FUNC
1050,3760,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2024,2024,False,1,TECH_FUNC
946,3978,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2023,2023,False,1,TECH_FUNC
760,3057,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2023,2023,False,1,TECH_FUNC
1606,6729,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2019,2019,False,1,TECH_FUNC
1524,1272,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2019,2019,False,1,TECH_FUNC
1750,6430,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2011,2011,False,1,TECH_FUNC
1739,1485,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2024,2024,False,1,TECH_FUNC
1785,7723,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2022,2022,False,1,TECH_FUNC
1245,5080,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2009,2009,False,1,TECH_FUNC
1156,4974,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5180804230627175,suppressed,2020,2020,False,1,TECH_FUNC
2246,1644,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2016,2016,False,1,TECH_FUNC
2226,9517,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2016,2016,False,1,TECH_FUNC
2472,10438,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2023,2023,False,1,TECH_FUNC
3068,12796,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2019,2019,False,1,TECH_FUNC
772,3606,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2024,2024,False,1,TECH_FUNC
